fqdn,tid,e2etime,gpu_est_total,absolute_error,squared_error,percentage_relative_error,session
rodinia-myocyte-2-0.0.1,36a3a6b6394d32d01077867fa3c58389,0.28139733,0.667176491070609,0.38577916107060894,0.14882556111634285,-137.09410855838928,az-2_0_Landlord_2_4
onnx-roberta-0-0.0.1,36be25bda5f7767ff742bf60cf393030,0.418153965,1.4129607231733594,0.9948067581733594,0.9896404861073888,-237.90441833389272,az-2_0_Landlord_2_4
rodinia-srad-0-0.0.1,373cf90b43a6005c79139ff74f5b906a,1.806531529,4.144373198160196,2.3378416691601958,5.4655036700617305,-129.41051023085663,az-2_0_Landlord_2_4
rodinia-lud-1-0.0.1,3745851e607020c162c64a1cc8fb980f,0.496157628,0.7428397016577974,0.24668207365779743,0.06085204546411099,-49.71848858842848,az-2_0_Landlord_2_4
onnx-roberta-1-0.0.1,376228fdc99f480a1c8c540fbd4fa11d,0.891217109,2.028512378607609,1.137295269607609,1.2934405302718441,-127.6114717864566,az-2_0_Landlord_2_4
rodinia-pathfinder-0-0.0.1,376ea6ec845177eaaacc0004c1f6d578,0.45600912,0.8648126478120108,0.40880352781201085,0.16712032435154553,-89.64810348793262,az-2_0_Landlord_2_4
onnx-roberta-0-0.0.1,3777df4426f02888c3371daa02efb0a2,0.361331,1.0655575012754672,0.7042265012754672,0.49593496509868557,-194.8978917600392,az-2_0_Landlord_2_4
rodinia-pathfinder-1-0.0.1,37a477d3b0dcf8027ecdd57207febfa9,0.431537015,1.1792218130123433,0.7476847980123433,0.5590325571787587,-173.2608726536108,az-2_0_Landlord_2_4
onnx-roberta-0-0.0.1,37e3aaa8e95eb39353de8908cf80ab73,0.412720709,1.4271149938088246,1.0143942848088245,1.0289957650528065,-245.78225969485445,az-2_0_Landlord_2_4
rodinia-srad-3-0.0.1,381690200413764c267662207ced5eab,1.851040423,5.442612655475472,3.591572232475472,12.899391101088845,-194.029918949829,az-2_0_Landlord_2_4
rodinia-srad-4-0.0.1,383ed98889f4edaf9473f2d6cd9c82d5,1.868751157,3.8407930328455273,1.9720418758455274,3.8889491600883463,-105.5272591248235,az-2_0_Landlord_2_4
rodinia-needle-3-0.0.1,38fe066ea024371406e3839dc099e37a,2.951364846,2.9259025672169097,0.025462278783090486,0.0006483276408278199,0.8627289444610565,az-2_0_Landlord_2_4
onnx-roberta-2-0.0.1,3901400e278414aa9e7bece33530d67b,0.417797442,0.7862723788714453,0.3684749368714453,0.1357737791024156,-88.19463688134435,az-2_0_Landlord_2_4
squeezenet-1-0.0.1,3910fef59a60f33ab9d75f86205b7fd7,6.953020298,7.551854233668263,0.5988339356682628,0.3586020825079411,-8.612572810128489,az-2_0_Landlord_2_4
rodinia-srad-4-0.0.1,3918e9bb9e63e669e53101015b8bc3e0,2.32400298,22.504882444222957,20.180879464222958,407.2678959494959,-868.3671939277358,az-2_0_Landlord_2_4
rodinia-needle-3-0.0.1,392ecfb5057960c05945bb1c7c5b73d7,1.347865153,2.176747137613191,0.8288819846131907,0.6870453444163017,-61.49591320528713,az-2_0_Landlord_2_4
rodinia-lavamd-4-0.0.1,393875f4ff14981349f1476eddbcb891,1.37610952,1.4430450462449722,0.06693552624497223,0.004480364673691366,-4.864113304366373,az-2_0_Landlord_2_4
rodinia-needle-3-0.0.1,39698624a943228aff9228984cf2a684,1.40719715,2.6710969642984277,1.2638998142984277,1.5974427405836,-89.8168259009356,az-2_0_Landlord_2_4
rodinia-needle-3-0.0.1,396d14a7aad8abd3558dd8b01a0c9c13,1.298426411,2.7508450981593713,1.4524186871593714,2.109520042809752,-111.8599155758679,az-2_0_Landlord_2_4
rodinia-pathfinder-0-0.0.1,39bb4d0fb0c01d6ddce763225c481600,0.44746774,0.8053633040862687,0.35789556408626866,0.12808923479262843,-79.98242824974794,az-2_0_Landlord_2_4
rodinia-lud-2-0.0.1,3a298325b57ce70bd8beb956691d7371,1.721797446,1.7266308793019962,0.004833433301996148,2.336207748484539e-05,-0.28072020394878366,az-2_0_Landlord_2_4
rodinia-pathfinder-0-0.0.1,3a302f3609446fbde2ec18de0470a7d0,0.547330698,1.054759462535986,0.507428764535986,0.25748395107851707,-92.70972126909388,az-2_0_Landlord_2_4
rodinia-lud-0-0.0.1,3a3b8be6e59a69b214bfa8b8637a4f2d,0.495774661,0.8090245578715868,0.3132498968715868,0.09812549789005975,-63.18392639102359,az-2_0_Landlord_2_4
rodinia-needle-3-0.0.1,3a4337aa5e4e8867abda864c8cf14651,1.398303705,2.9912505692618723,1.5929468642618723,2.5374797123617316,-113.91994876119365,az-2_0_Landlord_2_4
rodinia-myocyte-3-0.0.1,3a6d723a6c76fcfb36aadce69e15812d,1.648535878,3.0943335137674124,1.4457976357674125,2.0903308035906396,-87.70192114480705,az-2_0_Landlord_2_4
rodinia-lud-0-0.0.1,3abd5ef1527a399b09a7a8aedd4b8244,0.501787933,0.8982816358742849,0.39649370287428487,0.1572072564189617,-79.01618927019611,az-2_0_Landlord_2_4
rodinia-needle-3-0.0.1,3ad31271cf63e49f068b9c0f13afab7d,1.323175262,2.2148587298623252,0.8916834678623253,0.7950994068589826,-67.38967191047178,az-2_0_Landlord_2_4
rodinia-pathfinder-2-0.0.1,3b1a3c0567a16912556e8d6eb43907c5,2.092463803,0.9647581347716618,1.127705668228338,1.2717200741543222,53.89367627824805,az-2_0_Landlord_2_4
rodinia-srad-1-0.0.1,3b3e64247d1a02249f52b554fd511ba0,1.949923202,3.7285601818909706,1.7786369798909707,3.163549506235673,-91.21574521840941,az-2_0_Landlord_2_4
rodinia-needle-2-0.0.1,3ba56a45192c2c413d9faf14befcb87a,1.50648454,2.9685582454085866,1.4620737054085866,2.1376595200471944,-97.05202188192297,az-2_0_Landlord_2_4
rodinia-lavamd-4-0.0.1,3bd775c8e38c3fc5eb32ac5429e05de9,0.582426774,0.8611934066593888,0.27876663265938884,0.07771083548425463,-47.862949490606496,az-2_0_Landlord_2_4
onnx-roberta-1-0.0.1,3c585b2d3ec4188e2005228137db5efa,0.455067319,1.4076359715375237,0.9525686525375237,0.9073870377971535,-209.32477740453245,az-2_0_Landlord_2_4
onnx-roberta-0-0.0.1,3cb00b36fe74a7eb9d7708a4df1fc836,0.306442345,0.9586511473381856,0.6522088023381856,0.4253763218474104,-212.83246685055408,az-2_0_Landlord_2_4
rodinia-lavamd-1-0.0.1,3cb145cdc907403e89401408cc1f557a,0.638593225,1.879289865487019,1.2406966404870188,1.5393281537157748,-194.28590719655986,az-2_0_Landlord_2_4
rodinia-needle-3-0.0.1,3cd93e58c428aa0a4df8c2f230619690,1.356295703,3.751198373631613,2.3949026706316126,5.7355588017984305,-176.57673509798124,az-2_0_Landlord_2_4
rodinia-myocyte-2-0.0.1,3d16b96855f369c2262bb9304eb2a032,0.255187814,2.4688666721561714,2.2136788581561713,4.90037408704761,-867.4704420471156,az-2_0_Landlord_2_4
rodinia-myocyte-4-0.0.1,3d25c42b97fe0e4b534bbc5efbcea34c,0.293664003,0.8018038915780036,0.5081398885780035,0.2582061463640658,-173.03444868522192,az-2_0_Landlord_2_4
rodinia-pathfinder-4-0.0.1,3d42bf526063c678ac0f628e6ce890d9,0.671604381,1.1575076574454408,0.48590327644544085,0.23610199406041452,-72.34962876834493,az-2_0_Landlord_2_4
